Path	Class
E:\Dev\flowers ds\flowers\tulip\3502085373_edc2c36992_n.jpg	tulip
E:\Dev\flowers ds\flowers\rose\14683774134_6367640585.jpg	rose
E:\Dev\flowers ds\flowers\dandelion\19617643201_9922eec796.jpg	dandelion
E:\Dev\flowers ds\flowers\sunflower\14460075029_5cd715bb72_m.jpg	sunflower
E:\Dev\flowers ds\flowers\rose\8523394349_61b31fdd8f_m.jpg	rose
E:\Dev\flowers ds\flowers\daisy\10993710036_2033222c91.jpg	daisy
E:\Dev\flowers ds\flowers\dandelion\5003160931_cf8cbb846f.jpg	dandelion
E:\Dev\flowers ds\flowers\dandelion\2497301920_91490c42c0.jpg	dandelion
E:\Dev\flowers ds\flowers\tulip\8908097235_c3e746d36e_n.jpg	tulip
E:\Dev\flowers ds\flowers\daisy\34287492780_6dab677857_n.jpg	daisy
E:\Dev\flowers ds\flowers\dandelion\13331969914_890082d898_n.jpg	dandelion
E:\Dev\flowers ds\flowers\tulip\5674704952_9bd225ed9e_n.jpg	tulip
E:\Dev\flowers ds\flowers\dandelion\8749577087_dc2521615f_n.jpg	dandelion
E:\Dev\flowers ds\flowers\tulip\20692436712_75b2deaedf_n.jpg	tulip
E:\Dev\flowers ds\flowers\sunflower\164670455_29d8e02bbd_n.jpg	sunflower
E:\Dev\flowers ds\flowers\tulip\19693711100_b98c861433_n.jpg	tulip
E:\Dev\flowers ds\flowers\tulip\12517756805_56b74be742.jpg	tulip
E:\Dev\flowers ds\flowers\dandelion\3365850019_8158a161a8_n.jpg	dandelion
E:\Dev\flowers ds\flowers\sunflower\8543642705_b841b0e5f6.jpg	sunflower
E:\Dev\flowers ds\flowers\daisy\4733590002_f6a70b4f48_n.jpg	daisy
E:\Dev\flowers ds\flowers\daisy\2581171297_b0a249b92b_n.jpg	daisy
E:\Dev\flowers ds\flowers\rose\15255964454_0a64eb67fa.jpg	rose
E:\Dev\flowers ds\flowers\dandelion\493696003_f93ffb3abd_n.jpg	dandelion
E:\Dev\flowers ds\flowers\daisy\3598615130_578ed30e5f.jpg	daisy
E:\Dev\flowers ds\flowers\dandelion\140951103_69847c0b7c.jpg	dandelion
E:\Dev\flowers ds\flowers\dandelion\8780964418_7a01a7f48a_n.jpg	dandelion
E:\Dev\flowers ds\flowers\dandelion\17482158576_86c5ebc2f8.jpg	dandelion
E:\Dev\flowers ds\flowers\daisy\14114116486_0bb6649bc1_m.jpg	daisy
E:\Dev\flowers ds\flowers\rose\5693502877_41c11295b6_n.jpg	rose
E:\Dev\flowers ds\flowers\daisy\4897587985_f9293ea1ed.jpg	daisy
E:\Dev\flowers ds\flowers\sunflower\15243175532_ac28c48e14_m.jpg	sunflower
E:\Dev\flowers ds\flowers\daisy\10300722094_28fa978807_n.jpg	daisy
E:\Dev\flowers ds\flowers\tulip\16930105456_8b826dc4a8_n.jpg	tulip
E:\Dev\flowers ds\flowers\rose\466486216_ab13b55763.jpg	rose
E:\Dev\flowers ds\flowers\sunflower\4795924955_202448d8ea_n.jpg	sunflower
E:\Dev\flowers ds\flowers\tulip\9019694597_2d3bbedb17.jpg	tulip
E:\Dev\flowers ds\flowers\tulip\4497973347_57480ffee9_m.jpg	tulip
E:\Dev\flowers ds\flowers\rose\15922772266_1167a06620.jpg	rose
E:\Dev\flowers ds\flowers\rose\19153732586_9de58c8f53_n.jpg	rose
E:\Dev\flowers ds\flowers\tulip\14094146241_0b9fa7b3e0.jpg	tulip
E:\Dev\flowers ds\flowers\dandelion\7226987694_34552c3115_n.jpg	dandelion
E:\Dev\flowers ds\flowers\daisy\10841136265_af473efc60.jpg	daisy
E:\Dev\flowers ds\flowers\tulip\13979098015_e8c98fd34e_n.jpg	tulip
E:\Dev\flowers ds\flowers\daisy\7630517248_98fb8bee1f_n.jpg	daisy
E:\Dev\flowers ds\flowers\daisy\20182559506_40a112f762.jpg	daisy
E:\Dev\flowers ds\flowers\sunflower\44079668_34dfee3da1_n.jpg	sunflower
E:\Dev\flowers ds\flowers\sunflower\265450085_6e9f276e2e.jpg	sunflower
E:\Dev\flowers ds\flowers\rose\17090993740_fcc8b60b81.jpg	rose
E:\Dev\flowers ds\flowers\tulip\21084139365_f44cd2a685_n.jpg	tulip
E:\Dev\flowers ds\flowers\dandelion\18276105805_d31d3f7e71.jpg	dandelion
E:\Dev\flowers ds\flowers\daisy\33872893913_72d64a9b85_n.jpg	daisy
E:\Dev\flowers ds\flowers\daisy\4746633946_23933c0810.jpg	daisy
E:\Dev\flowers ds\flowers\daisy\8696022686_1f8d62c5cb_m.jpg	daisy
E:\Dev\flowers ds\flowers\tulip\7166564830_8b34a3fd35_n.jpg	tulip
E:\Dev\flowers ds\flowers\tulip\7064813645_f7f48fb527.jpg	tulip
E:\Dev\flowers ds\flowers\dandelion\7998106328_c3953f70e9_n.jpg	dandelion
E:\Dev\flowers ds\flowers\daisy\510844526_858b8fe4db.jpg	daisy
E:\Dev\flowers ds\flowers\sunflower\7492109308_bbbb982ebe_n.jpg	sunflower
E:\Dev\flowers ds\flowers\dandelion\34552250422_320900fd8e_n.jpg	dandelion
E:\Dev\flowers ds\flowers\sunflower\40411019_526f3fc8d9_m.jpg	sunflower
E:\Dev\flowers ds\flowers\dandelion\14914603395_b271ffab56_n.jpg	dandelion
E:\Dev\flowers ds\flowers\sunflower\14266917699_91b207888e.jpg	sunflower
E:\Dev\flowers ds\flowers\rose\3634244527_e72c47842c_n.jpg	rose
E:\Dev\flowers ds\flowers\tulip\17224410762_402455ed8f.jpg	tulip
E:\Dev\flowers ds\flowers\tulip\17094167287_865840060d_n.jpg	tulip
E:\Dev\flowers ds\flowers\rose\17062080069_36ac7907d2_n.jpg	rose
E:\Dev\flowers ds\flowers\tulip\16754984282_3a801bfa50_n.jpg	tulip
E:\Dev\flowers ds\flowers\daisy\9529916092_de70623523_n.jpg	daisy
E:\Dev\flowers ds\flowers\rose\4735314389_94fe1b2a9f_n.jpg	rose
E:\Dev\flowers ds\flowers\tulip\5718512658_f3b1ec76d7_n.jpg	tulip
E:\Dev\flowers ds\flowers\dandelion\4645101643_9c9d9df13e.jpg	dandelion
E:\Dev\flowers ds\flowers\tulip\12557176134_ecbf15885b.jpg	tulip
E:\Dev\flowers ds\flowers\tulip\3614805920_7a6610aa4b_n.jpg	tulip
E:\Dev\flowers ds\flowers\daisy\3704305945_a80e60e2f6_m.jpg	daisy
E:\Dev\flowers ds\flowers\dandelion\34662996866_af256e8f10_n.jpg	dandelion
E:\Dev\flowers ds\flowers\tulip\4497976955_3f8c2a21c1_m.jpg	tulip
E:\Dev\flowers ds\flowers\sunflower\20777375650_ef854bf645.jpg	sunflower
E:\Dev\flowers ds\flowers\tulip\2426847695_4b8409402e_n.jpg	tulip
E:\Dev\flowers ds\flowers\dandelion\33876197394_c7a9487a9f_n.jpg	dandelion
E:\Dev\flowers ds\flowers\dandelion\3591588855_b4fd53b000.jpg	dandelion
E:\Dev\flowers ds\flowers\tulip\14651383746_419dc73634_m.jpg	tulip
E:\Dev\flowers ds\flowers\daisy\2561352120_7961d8263f.jpg	daisy
E:\Dev\flowers ds\flowers\daisy\6910811638_aa6f17df23.jpg	daisy
E:\Dev\flowers ds\flowers\dandelion\284497199_93a01f48f6.jpg	dandelion
E:\Dev\flowers ds\flowers\tulip\2336919121_851ebc4754.jpg	tulip
E:\Dev\flowers ds\flowers\tulip\4599815420_8ee42c2382.jpg	tulip
E:\Dev\flowers ds\flowers\daisy\8489463746_a9839bf7e4.jpg	daisy
E:\Dev\flowers ds\flowers\dandelion\5873232330_59818dee03_n.jpg	dandelion
E:\Dev\flowers ds\flowers\dandelion\2477231067_3aecef1bf8_n.jpg	dandelion
E:\Dev\flowers ds\flowers\daisy\34293871550_71d1e4d482_n.jpg	daisy
E:\Dev\flowers ds\flowers\tulip\7806320016_fcddfc1f8f_n.jpg	tulip
E:\Dev\flowers ds\flowers\dandelion\4716316039_044e4d2d1a.jpg	dandelion
E:\Dev\flowers ds\flowers\tulip\3626132563_d955973447_n.jpg	tulip
E:\Dev\flowers ds\flowers\dandelion\33878218914_452600b869_n.jpg	dandelion
E:\Dev\flowers ds\flowers\dandelion\2502613166_2c231b47cb_n.jpg	dandelion
E:\Dev\flowers ds\flowers\dandelion\17420983523_2e32d70359.jpg	dandelion
E:\Dev\flowers ds\flowers\tulip\503770507_f397245a6a.jpg	tulip
E:\Dev\flowers ds\flowers\daisy\3098641292_76c908ba1f_n.jpg	daisy
E:\Dev\flowers ds\flowers\daisy\9161647994_e39b65cb9c_n.jpg	daisy
E:\Dev\flowers ds\flowers\dandelion\3856725141_0db85f466d_n.jpg	dandelion
E:\Dev\flowers ds\flowers\dandelion\3998927705_af499a4f29.jpg	dandelion
E:\Dev\flowers ds\flowers\tulip\7247182064_f8d6759446_n.jpg	tulip
E:\Dev\flowers ds\flowers\rose\19823402005_2db025dd66_m.jpg	rose
E:\Dev\flowers ds\flowers\sunflower\5738580862_e128192f75.jpg	sunflower
E:\Dev\flowers ds\flowers\dandelion\3761310831_41b5eba622_n.jpg	dandelion
E:\Dev\flowers ds\flowers\tulip\4571993204_5b3efe0e78.jpg	tulip
E:\Dev\flowers ds\flowers\daisy\5896676090_68bb74b1e9_n.jpg	daisy
E:\Dev\flowers ds\flowers\rose\5717319579_190e85c7d1_m.jpg	rose
E:\Dev\flowers ds\flowers\rose\12406229175_82e2ac649c_n.jpg	rose
E:\Dev\flowers ds\flowers\tulip\12916017805_1cde91a891_n.jpg	tulip
E:\Dev\flowers ds\flowers\dandelion\6985099958_5249a4688b.jpg	dandelion
E:\Dev\flowers ds\flowers\rose\5570018782_c56bee942f.jpg	rose
E:\Dev\flowers ds\flowers\daisy\4278442064_a5a598524b_m.jpg	daisy
E:\Dev\flowers ds\flowers\sunflower\14889392928_9742aed45b_m.jpg	sunflower
E:\Dev\flowers ds\flowers\daisy\4858518329_7563eb0baa_m.jpg	daisy
E:\Dev\flowers ds\flowers\dandelion\4523862714_b41b459c88.jpg	dandelion
E:\Dev\flowers ds\flowers\daisy\4993492878_11fd4f5d12.jpg	daisy
E:\Dev\flowers ds\flowers\dandelion\17831860736_3e44667bbb_n.jpg	dandelion
E:\Dev\flowers ds\flowers\rose\5002456302_e3d2600c17_n.jpg	rose
E:\Dev\flowers ds\flowers\dandelion\7843447416_847e6ba7f4_m.jpg	dandelion
E:\Dev\flowers ds\flowers\dandelion\7232035352_84a39e99ba_n.jpg	dandelion
E:\Dev\flowers ds\flowers\tulip\132538272_63658146d9_n.jpg	tulip
E:\Dev\flowers ds\flowers\dandelion\17220096449_0e535989f0_n.jpg	dandelion
E:\Dev\flowers ds\flowers\sunflower\2721638730_34a9b7a78b.jpg	sunflower
E:\Dev\flowers ds\flowers\sunflower\4746648726_e37a2de16d_n.jpg	sunflower
E:\Dev\flowers ds\flowers\dandelion\4574737576_044403a997_n.jpg	dandelion
E:\Dev\flowers ds\flowers\dandelion\8980145452_efbd6e3b04.jpg	dandelion
E:\Dev\flowers ds\flowers\daisy\34658035045_7782e95b50_n.jpg	daisy
E:\Dev\flowers ds\flowers\sunflower\40410814_fba3837226_n.jpg	sunflower
E:\Dev\flowers ds\flowers\dandelion\34599366451_2854aee943_n.jpg	dandelion
E:\Dev\flowers ds\flowers\rose\8692051081_dffa8709e7_m.jpg	rose
E:\Dev\flowers ds\flowers\tulip\16568439688_4f166e8d90_n.jpg	tulip
E:\Dev\flowers ds\flowers\daisy\8446495985_f72d851482.jpg	daisy
E:\Dev\flowers ds\flowers\dandelion\13967344688_aa629dcdee_n.jpg	dandelion
E:\Dev\flowers ds\flowers\daisy\134409839_71069a95d1_m.jpg	daisy
E:\Dev\flowers ds\flowers\daisy\4565255237_9ba29c4d4e_n.jpg	daisy
E:\Dev\flowers ds\flowers\rose\32724693914_282ccc4f92_n.jpg	rose
E:\Dev\flowers ds\flowers\rose\14810868100_87eb739f26_m.jpg	rose
E:\Dev\flowers ds\flowers\tulip\20711107885_98d96a705b_n.jpg	tulip
E:\Dev\flowers ds\flowers\daisy\476856232_7c35952f40_n.jpg	daisy
E:\Dev\flowers ds\flowers\sunflower\5139969631_743880e01d_n.jpg	sunflower
E:\Dev\flowers ds\flowers\daisy\34613530216_26cf037012_n.jpg	daisy
E:\Dev\flowers ds\flowers\dandelion\26741270544_f44f3a1b19_n.jpg	dandelion
E:\Dev\flowers ds\flowers\daisy\10559679065_50d2b16f6d.jpg	daisy
E:\Dev\flowers ds\flowers\dandelion\34343228430_8df9f1c03a_n.jpg	dandelion
E:\Dev\flowers ds\flowers\sunflower\5231868667_f0baa71feb_n.jpg	sunflower
E:\Dev\flowers ds\flowers\dandelion\146242691_44d9c9d6ce_n.jpg	dandelion
E:\Dev\flowers ds\flowers\rose\5335944093_a00b28c4ff_n.jpg	rose
E:\Dev\flowers ds\flowers\rose\18490508225_0fc630e963_n.jpg	rose
E:\Dev\flowers ds\flowers\rose\7865295712_bcc94d120c.jpg	rose
E:\Dev\flowers ds\flowers\rose\17158274118_00ec99a23c.jpg	rose
E:\Dev\flowers ds\flowers\tulip\3011223301_09b4e3edb7.jpg	tulip
E:\Dev\flowers ds\flowers\tulip\7166606598_5d2cd307c3.jpg	tulip
E:\Dev\flowers ds\flowers\tulip\16303377824_6e9128b4bd.jpg	tulip
E:\Dev\flowers ds\flowers\rose\5001845289_e5740889b0_n.jpg	rose
E:\Dev\flowers ds\flowers\rose\12243068283_ee4c2683e2_n.jpg	rose
E:\Dev\flowers ds\flowers\tulip\5718510972_9a439aa30a_n.jpg	tulip
E:\Dev\flowers ds\flowers\rose\3742155164_14b557a51c_n.jpg	rose
E:\Dev\flowers ds\flowers\daisy\20329326505_a777c71cc2.jpg	daisy
E:\Dev\flowers ds\flowers\rose\2331651885_619653a5d3.jpg	rose
E:\Dev\flowers ds\flowers\sunflower\9681915384_b3b646dc92_m.jpg	sunflower
E:\Dev\flowers ds\flowers\dandelion\18482768066_677292a64e.jpg	dandelion
E:\Dev\flowers ds\flowers\dandelion\7148085703_b9e8bcd6ca_n.jpg	dandelion
E:\Dev\flowers ds\flowers\sunflower\5139977283_530c508603_n.jpg	sunflower
E:\Dev\flowers ds\flowers\tulip\10686568196_b1915544a8.jpg	tulip
E:\Dev\flowers ds\flowers\sunflower\23204123212_ef32fbafbe.jpg	sunflower
E:\Dev\flowers ds\flowers\tulip\15632065904_0d9caf174b.jpg	tulip
E:\Dev\flowers ds\flowers\dandelion\4510938552_6f7bae172a_n.jpg	dandelion
E:\Dev\flowers ds\flowers\dandelion\16656127943_2f70926b6c.jpg	dandelion
E:\Dev\flowers ds\flowers\rose\2141413229_3f0425f972_n.jpg	rose
E:\Dev\flowers ds\flowers\tulip\13539404903_cd113e3e9b.jpg	tulip
E:\Dev\flowers ds\flowers\dandelion\6229634119_af5fec0a22.jpg	dandelion
E:\Dev\flowers ds\flowers\rose\9423755543_edb35141a3_n.jpg	rose
E:\Dev\flowers ds\flowers\dandelion\19586799286_beb9d684b5.jpg	dandelion
E:\Dev\flowers ds\flowers\sunflower\15043962658_dcf9dff5e9_n.jpg	sunflower
E:\Dev\flowers ds\flowers\sunflower\3731075939_6c92d7fe68_m.jpg	sunflower
E:\Dev\flowers ds\flowers\tulip\16680927427_07ca6e4552_n.jpg	tulip
E:\Dev\flowers ds\flowers\sunflower\3001536784_3bfd101b23_n.jpg	sunflower
E:\Dev\flowers ds\flowers\dandelion\4606893762_c2f26c7e91_n.jpg	dandelion
E:\Dev\flowers ds\flowers\rose\16155980245_6ab8d7b888.jpg	rose
E:\Dev\flowers ds\flowers\daisy\3637428148_a1dcccafa9_n.jpg	daisy
E:\Dev\flowers ds\flowers\daisy\34652819496_0b6f758986_n.jpg	daisy
E:\Dev\flowers ds\flowers\daisy\4434592930_6610d51fca_m.jpg	daisy
E:\Dev\flowers ds\flowers\rose\8747396730_966149e6fe_n.jpg	rose
E:\Dev\flowers ds\flowers\rose\3576488381_611f3446e0_n.jpg	rose
E:\Dev\flowers ds\flowers\tulip\5635347336_bc1400e939_n.jpg	tulip
E:\Dev\flowers ds\flowers\daisy\8071646795_2fdc89ab7a_n.jpg	daisy
E:\Dev\flowers ds\flowers\dandelion\8681388520_c697dee897_n.jpg	dandelion
E:\Dev\flowers ds\flowers\daisy\4511693548_20f9bd2b9c_m.jpg	daisy
E:\Dev\flowers ds\flowers\dandelion\7280227122_7ea2bef7f4_n.jpg	dandelion
E:\Dev\flowers ds\flowers\rose\14970973709_968910640e_n.jpg	rose
E:\Dev\flowers ds\flowers\rose\4363734507_5cc4ed6e01.jpg	rose
E:\Dev\flowers ds\flowers\rose\3872230296_6c477309f3_n.jpg	rose
E:\Dev\flowers ds\flowers\tulip\5628970369_54eb9ed31c_n.jpg	tulip
E:\Dev\flowers ds\flowers\tulip\14276668513_f205b5270d_n.jpg	tulip
E:\Dev\flowers ds\flowers\daisy\18442919723_d1251d3e14_n.jpg	daisy
E:\Dev\flowers ds\flowers\dandelion\9011235009_58c7b244c1_n.jpg	dandelion
